idx,image,start_s,dur_s,transition,blur,intro,outro,kb_s0,kb_s1,kb_x0,kb_x1,kb_y0,kb_y1
149,hinh_nen_phong_canh (228).jpg,1728.300,8.900,shutter,3,,,0.734920,0.869157,0.088804,-0.088804,0.088804,-0.088804
150,16.png,1737.200,12.300,shutter,3,,,0.859066,0.859066,0.000000,0.000000,-0.095028,0.095028
151,hinh-nen-dien-thoai-thanh-pho-ve-dem-4.jpg,1749.500,11.800,shutter,3,,,0.810843,0.879645,-0.062169,0.062169,0.062169,-0.062169
152,tong-hop-nhung-anh-nen-thien-nhien-dep-nhat-ve-may-dien-thoa_g7QNT_014905863.jpg,1761.300,9.200,shutter,3,,,0.824967,0.763178,0.000000,0.000000,0.000000,0.000000
153,hinh-anh-lien-quan-65.jpg,1770.500,14.600,glitch,3,,,0.745553,0.855204,0.000000,0.000000,0.000000,0.000000
154,7c62e039c02ceb746c523bad4b4b5cd8.jpg,1785.100,9.200,dissolve,3,,,0.916354,0.916354,-0.056604,0.056604,0.000000,0.000000
155,14.jpg,1794.300,15.700,gradient-wipe,3,,,0.790020,0.857330,-0.071472,0.071472,-0.071472,0.071472
156,21.jpg,1810.000,16.400,glitch,3,,,0.919883,0.815280,0.057898,-0.057898,-0.063051,0.063051
157,hinh-anh-miss-fortune-41.jpg,1826.400,14.500,split,3,,,0.750852,0.890774,0.081519,-0.081519,0.081519,-0.081519
158,mua-thu-la-phong-ben-cay-cau-go-la-phong-canh-thien-nhien-ra_Fua76_085326259.jpg,1840.900,14.500,split,3,,,0.895655,0.895655,0.000000,0.000000,-0.082557,0.082557
159,hinh-nen-hd-cuc-chat-tuong-lol-cam-dao_034654208.jpg,1855.400,9.500,glitch,3,,,0.723969,0.825564,-0.104186,0.104186,0.104186,-0.104186
160,hinh-anh-miss-fortune-42.jpg,1864.900,11.300,dissolve,3,,,0.891030,0.801050,0.000000,0.000000,0.000000,0.000000
161,9.jpg,1876.200,11.100,whirlpool,3,,,0.760156,0.864676,0.000000,0.000000,0.000000,0.000000
162,hinh-nen-ashe-dep-21.jpg,1887.300,8.300,blur,3,,,0.868547,0.868547,-0.107551,0.107551,0.000000,0.000000
163,hinh-anh-miss-fortune-20.jpg,1895.600,12.200,shutter,3,,,0.751417,0.861037,-0.068463,0.068463,-0.068463,0.068463
164,hinh-nen-ashe-dep-5.jpg,1907.800,11.400,flip-ii,3,,,0.866002,0.742290,0.093853,-0.093853,-0.093853,0.093853
165,e919dc99f06905c0ddcba7b903a8189d.jpg,1919.200,14.700,blur,3,,,0.735221,0.839528,0.091128,-0.091128,0.091128,-0.091128
166,35.jpg,1933.900,14.600,page-turning,3,,,0.918705,0.918705,0.000000,0.000000,-0.062764,0.062764
167,hinh-nen-thien-nhien-tho-mong_105624369.jpeg,1948.500,12.800,gradient-wipe,3,,,0.789000,0.913426,-0.040549,0.040549,0.040549,-0.040549
168,OSPic8.jpg,1961.300,11.000,page-turning,3,,,0.881568,0.804996,0.000000,0.000000,0.000000,0.000000
169,hinh-anh-xin-zhao-2.jpg,1972.300,7.900,flip-ii,3,,,0.791491,0.898455,0.000000,0.000000,0.000000,0.000000
170,11a6f06bdb56641c8651601e2809fd9d.jpg,1980.200,12.700,glitch,3,,,0.745219,0.745219,-0.125212,0.125212,0.000000,0.000000
171,hinh-nen-cf-dep-9.jpg,1992.900,13.900,flip-ii,3,,,0.749915,0.812572,-0.144975,0.144975,-0.144975,0.144975
172,22.jpg,2006.800,10.200,dissolve-ii,3,,,0.865818,0.800731,0.083047,-0.083047,-0.083047,0.083047
173,hinh-nen-cf-dep-2 (1).jpg,2017.000,12.000,whirlpool,3,,,0.785449,0.890635,0.091661,-0.091661,0.091661,-0.091661
174,hinh-nen-ahri-dep-38.jpg,2029.000,8.400,shutter,3,,,0.907964,0.907964,0.000000,0.000000,-0.060260,0.060260
175,hinh-anh-miss-fortune-16.jpg,2037.400,13.900,split,3,,,0.750758,0.848749,-0.075824,0.075824,0.075824,-0.075824
176,top-khach-san-tot-nhat-sapa-5.jpg,2051.300,13.800,shutter,3,,,0.860091,0.758018,0.000000,0.000000,0.000000,0.000000
177,hinh-anh-lien-quan-27.jpg,2065.100,14.400,glitch,3,,,0.731473,0.867800,0.000000,0.000000,0.000000,0.000000
178,hinh-nen-pubg-dep-19.jpg,2079.500,14.400,black-fade,3,,,0.850693,0.850693,-0.068126,0.068126,0.000000,0.000000
179,0106_hinh-nen-4k-may-tinh19-1-scaled.jpg,2093.900,15.100,black-fade,3,,,0.786317,0.891355,-0.061514,0.061514,-0.061514,0.061514
180,hinh-anh-xin-zhao-26.jpg,2109.000,10.100,shutter,3,,,0.918179,0.783808,0.068482,-0.068482,-0.068482,0.068482
181,hinh-nen-games-15.jpg,2119.100,8.700,glitch,3,,,0.783668,0.908251,0.051202,-0.051202,0.051202,-0.051202
182,hinh-nen-game-pc_061017796.jpg,2127.800,16.200,flip-ii,3,,,0.774595,0.774595,0.000000,0.000000,-0.171303,0.171303
183,hinh-anh-miss-fortune-27.jpg,2144.000,14.700,glitch,3,,,0.755112,0.871492,-0.058660,0.058660,0.058660,-0.058660
184,595222c8a69e47be08e13b23c17f7f51.jpg,2158.700,12.200,shutter,3,,,0.811348,0.724306,0.000000,0.000000,0.000000,0.000000
185,hinh-nen-truy-kich-CrossFire-7.jpg,2170.900,9.400,page-turning,3,,,0.751581,0.866499,0.000000,0.000000,0.000000,0.000000
186,hinh-nen-pubg-dep-29.jpg,2180.300,10.300,whirlpool,3,,,0.892980,0.892980,-0.071985,0.071985,0.000000,0.000000
187,hinh-anh-lien-quan-22.jpg,2190.600,12.700,dissolve,3,,,0.761186,0.884532,-0.072296,0.072296,-0.076589,0.076589
188,hinh-nen-games-18.jpg,2203.300,16.800,shutter,3,,,0.857061,0.741011,0.119148,-0.119148,-0.119148,0.119148
189,11.jpg,2220.100,11.900,dissolve-ii,3,,,0.787051,0.886222,0.069003,-0.069003,0.069003,-0.069003
190,hinh-anh-nen-hd-tuong-lol-dep_034647537.jpg,2232.000,9.500,whirlpool,3,,,0.889551,0.889551,0.000000,0.000000,-0.085397,0.085397
191,hinh-anh-lien-quan-49.jpg,2241.500,11.800,split,3,,,0.816337,0.919975,-0.043252,0.043252,0.047106,-0.047106
192,hinh-nen-game-valorant_061018264.jpg,2253.300,16.600,black-fade,3,,,0.854942,0.768964,0.000000,0.000000,0.000000,0.000000
193,hinh-nen-game-cuc-ngau_061015577.jpg,2269.900,10.100,flip-ii,3,,,0.773420,0.854652,0.000000,0.000000,0.000000,0.000000
194,hinh-nen-pubg-dep-15.jpg,2280.000,12.600,glitch,3,,,0.763101,0.763101,-0.194875,0.194875,0.000000,0.000000
195,hinh-nen-truy-kich-CrossFire-17.jpg,2292.600,14.200,glitch,3,,,0.724049,0.788342,-0.160096,0.160096,-0.160387,0.160387
196,09f4619ee3d4348fc21d3e377ee9f725.jpg,2306.800,11.900,split,3,,,0.831340,0.730991,0.124465,-0.124465,-0.124465,0.124465
